Gene,Component
10261,0
654816,0
10589,0
23569,0
9445,0
976,0
2207,0
2319,0
8794,0
7127,0
829,0
10105,0
7045,0
306,0
3577,0
963,0
5315,0
81622,0
51246,0
8875,0
64386,0
2876,0
7453,0
25801,0
440926,0
5329,0
4048,0
4542,0
3579,0
533,0
5034,0
7094,0
51816,0
8870,0
84418,0
7879,0
7832,0
9535,0
51170,0
387,0
150372,0
7456,0
6494,0
967,0
978,0
292,0
10956,0
23401,0
3055,0
5226,0
1522,0
3105,0
1192,0
10581,0
3162,0
7086,0
6281,0
84243,0
407008,0
9750,0
3136,0
91543,0
2353,0
79143,0
1032,0
26234,0
80325,0
5836,0
4947,0
23166,0
84658,0
90007,0
101927015,0
4318,0
10109,0
3020,0
3557,0
56905,0
9314,0
5089,0
8519,0
10135,0
83931,0
4125,0
11151,0
199675,0
11240,0
54625,0
5878,0
7408,0
2787,0
6778,0
342510,0
140885,0
5199,0
4814,0
2771,0
79887,0
3398,0
7295,0
2219,0
10577,0
115727,0
116496,0
5341,0
6888,0
10437,0
4778,0
100507006,0
50486,0
92799,0
3433,0
567,0
3957,0
2217,0
27128,0
427,0
8407,0
91544,0
255809,0
2512,0
8291,0
6386,0
100500853,0
55196,0
527,0
1848,0
51291,0
604,0
219972,0
3936,0
8301,0
6397,0
54458,0
7846,0
8334,0
10097,0
51312,0
11337,0
1520,0
9636,0
64218,0
3965,0
4940,0
3385,0
290,0
10376,0
826,0
3956,0
3021,0
283349,0
6688,0
91300,0
1441,0
2268,0
9123,0
7940,0
409,0
10957,0
1051,0
440836,0
9473,0
23258,0
6402,0
23558,0
109729184,0
54918,0
645,0
10094,0
83719,0
1912,0
64115,0
10221,0
5660,0
6653,0
4069,0
29992,0
10875,0
3133,0
29108,0
9103,0
1265,0
5265,0
706,0
284454,0
57136,0
81628,0
6398,0
240,0
254896,0
5355,0
8724,0
5997,0
1072,0
653361,0
8992,0
102465993,0
339287,0
9802,0
4600,0
2752,0
1116,0
10211,0
4082,0
375,0
113218500,0
5008,0
308,0
100302254,0
4046,0
407013,0
65220,0
6279,0
3684,0
23214,0
103910,0
4478,0
4332,0
1471,0
2783,0
241,0
3304,0
8743,0
6280,0
2124,0
6277,0
9111,0
112694756,0
81671,0
6303,0
1955,0
1200,0
7791,0
5698,0
8826,0
112268246,0
55313,0
3689,0
9516,0
5777,0
23406,0
3101,0
83442,0
9021,0
116844,0
8778,0
152007,0
87,0
116985,0
120892,0
6813,0
5552,0
6286,0
396,0
100507419,0
654817,0
929,0
729737,0
3015,0
9260,0
9246,0
1439,0
723790,0
7454,0
144423,0
4599,0
5580,0
10409,0
3927,0
120425,0
9935,0
3665,0
3614,0
64581,0
1378,0
4689,0
1475,0
5743,0
7090,0
100507347,0
8337,0
3434,0
8125,0
84875,0
682,0
3059,0
10312,0
353514,0
2634,0
79180,0
271,0
407010,0
5829,0
23586,0
1992,0
4067,0
57153,0
284996,0
2907,0
54518,0
26020,0
54210,0
22904,0
8347,0
79168,0
9170,0
1890,0
9114,0
8650,0
6556,0
552891,0
4210,0
51056,0
597,0
55911,0
8843,0
249,0
4084,0
5724,0
64744,0
1536,0
6282,0
6275,0
1509,0
6890,0
397,0
133,0
4792,0
257106,0
6404,0
102465513,0
3934,0
2357,0
126308,0
5899,0
8338,0
752,0
10346,0
64333,0
200315,0
80301,0
146225,0
64231,0
23347,0
3553,0
391,0
7009,0
2214,0
55505,0
968,0
63940,0
8972,0
7431,0
79930,0
25797,0
89849,0
3716,0
1508,0
4627,0
