Gene,Module
6280,1
6279,1
60,1
6283,1
6282,3
9535,3
6888,3
5265,1
249,1
7791,1
6688,3
3055,3
353514,1
2783,3
5836,3
5226,1
1192,1
6556,1
2319,3
11025,3
92799,3
391,3
6813,1
4778,3
10211,3
84418,1
79168,1
1992,1
116844,3
57085,1
729737,3
3614,3
29108,1
9114,1
9123,3
8993,3
5580,3
100506115,1
8992,1
126014,1
5691,1
64218,1
113218500,3
3107,3
3106,3
567,3
3133,3
2214,3
9445,3
837,3
84243,3
81671,3
5698,3
4179,3
2634,3
6890,3
101927015,3
137835,3
3015,3
199675,1
2907,1
4512,4
4513,4
4509,4
4508,4
4538,4
4514,4
4539,4
4535,4
4540,4
4574,4
113219467,4
4579,4
4511,4
4570,4
4553,4
4069,5
5660,5
10437,5
7431,5
968,5
2219,5
9314,5
1848,5
219972,5
1522,5
100507347,5
334,5
1536,5
6446,5
9935,5
1462,5
1471,5
7045,5
342510,5
1508,5
9056,5
308,5
10577,5
1200,5
64231,5
4125,5
51816,5
948,5
4536,4
4519,4
4537,4
4541,4
4556,4
10581,3
2215,3
4332,3
1441,3
6402,3
2357,3
10135,3
102465993,3
3579,3
8407,3
440926,3
8794,3
653361,3
4688,3
366,3
10409,3
3577,3
6286,3
7940,3
2124,3
728,3
397,3
3020,3
3385,3
4542,3
654817,3
8875,3
3687,3
409,3
11151,3
91300,3
120425,3
597,3
7408,3
654816,3
51734,3
2180,3
64386,3
64744,3
3059,3
976,3
64115,1
9516,3
1439,3
2212,3
2867,3
4046,3
1265,3
1051,3
63940,3
407008,3
4689,3
101,3
6404,3
83719,3
80325,3
51312,3
241,3
79143,3
29992,3
27128,3
23214,3
4084,3
8334,3
6386,3
6648,3
54458,3
978,3
60675,3
116496,3
7454,3
963,3
23401,3
3303,3
2358,3
6398,3
170954,3
126364,3
7132,3
55505,3
146225,3
6397,3
65220,3
7879,3
6653,3
752,3
54518,3
116985,3
55911,3
79930,3
87,3
51291,3
8698,3
26020,3
3310,3
9770,3
1912,3
1032,3
115727,3
53829,3
4947,3
5724,3
133,3
56905,3
84649,3
8301,3
4067,3
5089,3
51170,3
100507006,3
9260,3
23558,3
126308,3
9961,3
100500853,3
112268246,3
10261,3
8650,3
25797,3
5899,3
150372,3
339287,3
55313,3
10312,3
2790,3
284996,3
254896,3
4210,3
9170,3
89849,3
8778,3
3482,3
84658,3
120892,3
100507419,3
283349,3
7295,3
7090,3
81628,3
22904,3
9103,3
9111,3
1084,3
26578,3
552891,3
6195,3
89846,3
8125,3
23258,3
26234,3
25801,3
83931,3
144423,3
80301,3
6277,1
2207,1
3689,1
23406,1
199,1
2268,1
7086,1
10095,1
387,1
3101,1
10288,1
5538,1
967,1
112694756,1
10956,1
2280,1
83706,1
255809,1
152007,1
2787,1
84106,1
4550,18
4549,18
4577,18
51094,18
64333,3
57580,3
7456,3
2512,1
7305,1
4946,1
11337,1
10094,1
2771,1
2217,1
1052,1
7133,1
533,1
5199,1
3105,3
3136,3
3514,7
3507,7
28950,7
28477,7
28476,7
3538,7
973,7
28947,7
3539,7
3495,7
3493,7
28832,7
28949,7
28475,7
100616259,7
931,7
951,7
28831,7
28479,7
28946,7
28948,7
283663,7
28478,7
3537,7
974,7
28912,7
28833,7
3500,7
933,7
28442,7
28439,7
3501,7
28815,7
100616422,7
3494,7
28483,7
28914,7
102466889,7
100847070,7
28299,7
28434,7
3117,7
115650,7
28913,7
28908,7
28388,7
115350,7
28481,7
199786,7
2208,7
28444,7
930,7
102723169,7
28394,7
28474,7
28813,7
640,7
28468,7
100616276,7
28392,7
3512,7
28816,7
28452,7
28395,7
28930,7
55024,7
28825,7
3112,7
28796,7
106635683,8
6222,8
6206,8
100500804,8
1915,8
6181,8
6156,8
6122,8
23521,8
6232,8
6230,8
6194,8
6202,8
113218487,8
6143,8
6141,8
6135,8
6142,8
6217,8
6191,8
6187,8
6170,8
1937,8
6132,8
6125,8
6136,8
6207,8
6130,8
6218,8
10399,8
11224,8
100616345,8
6176,8
6175,8
4736,8
6154,8
3921,8
6124,8
6147,8
1938,8
6193,8
6134,8
6201,8
7178,8
6152,8
6209,8
6155,8
6133,8
6189,8
6159,8
6188,8
6161,8
29997,8
1933,8
25873,8
6164,8
2197,8
6233,8
6224,8
728658,8
6137,8
6203,8
6165,8
6171,8
6208,8
6160,8
6169,8
6210,8
6204,8
6129,8
6223,8
6144,8
6228,8
6128,8
6139,8
6234,8
106635684,8
9349,8
689,8
6168,8
6229,8
106635533,8
6146,8
54543,8
6227,8
1350,8
6157,8
4869,8
60674,8
6173,8
6158,8
27335,8
100526842,8
50854,8
3646,8
1975,8
100131205,8
2091,8
6138,8
100529239,8
6167,8
51386,8
664709,8
10541,8
9045,8
100093630,8
972,7
100616374,7
3394,7
5026,7
8115,7
28485,7
1843,9
50486,9
2353,9
6303,9
5997,3
3576,9
7832,9
5743,9
10957,3
5008,9
8347,9
6205,8
113791,8
23770,18
4558,18
4563,18
2995,18
3945,8
1236,8
2495,1
5552,3
1520,1
7127,1
7846,3
7439,1
4814,3
5341,1
2752,3
5093,3
64581,1
9802,3
9473,1
271,3
10376,1
54210,3
427,1
5175,1
54918,3
8843,3
5878,1
4082,1
1327,8
723790,3
8337,3
8031,3
8349,3
57153,3
55196,3
51246,11
162466,3
53917,3
23347,3
9750,3
1955,3
8338,3
338442,3
1043,8
4318,1
706,1
109729184,1
3122,7
3123,7
3113,7
3108,7
3109,7
9308,7
3115,7
256236,7
1731,20
100616164,7
10578,20
4818,20
5551,20
3002,20
1521,20
83888,20
3560,20
10417,20
28522,20
919,20
3001,20
3683,20
864,20
28526,20
51348,20
81926,20
53637,20
28523,20
9289,20
30009,20
4145,20
343413,20
924,20
3936,3
290,3
240,3
5777,3
10487,3
8291,3
11240,3
2885,1
140885,3
829,3
23569,3
4502,16
4501,16
677,3
389541,3
3726,3
3021,3
7462,3
8972,3
3553,5
929,5
2896,5
100616211,5
1475,5
527,5
7453,5
3958,5
23642,20
8519,11
1606,20
3043,18
3040,18
3039,18
3042,18
3045,18
9636,11
3433,11
3437,11
2537,11
91543,11
4599,11
3434,11
10346,11
8743,11
3665,11
4600,11
3557,11
4940,11
9246,11
51191,11
8638,11
10589,11
3428,11
3430,11
23586,11
10561,11
4615,1
10123,20
2999,20
28627,20
3004,20
25777,20
3820,20
7535,20
286257,20
6351,20
9168,8
5204,8
3162,5
59342,5
6275,1
3048,19
3047,19
2597,5
301,5
6281,5
5315,5
23166,5
5788,3
2533,3
604,3
8826,3
3127,7
7009,1
28638,20
28639,20
28755,20
916,20
9235,20
28622,20
3575,20
915,20
28635,20
28630,20
3932,20
28637,20
28634,20
9806,20
923,20
28632,20
914,20
3702,20
27040,20
8718,20
28633,20
28567,20
100616408,20
100616387,20
1655,20
26778,20
3187,20
1974,20
6430,20
3178,20
114823,20
3181,20
1195,20
6432,20
619567,20
4691,20
6427,20
109617006,20
26815,20
116936,20
8473,20
51629,18
1509,1
7076,1
54625,11
6778,3
3927,3
257106,3
4569,18
4572,18
4568,18
4792,5
2354,5
23645,5
83442,1
102465513,3
7094,3
10097,1
10109,10
387066,8
6352,20
22914,20
100528032,20
3502,7
1116,3
10875,1
10221,5
1230,1
4637,1
100422885,20
100302285,20
5757,20
7805,1
109864280,12
109910380,12
106631781,12
109864273,12
100008588,12
106631777,12
109864279,12
109910379,12
109864271,12
100861532,12
3684,1
375,1
102465871,7
4118,20
3956,5
2023,5
4493,16
106632264,12
109864282,12
109910382,12
109864272,12
100008589,12
112268284,12
1316,5
284454,5
200315,1
3304,3
26986,8
4170,5
1072,1
3326,20
6166,8
962,8
3727,20
102724428,20
682,1
2316,20
4573,18
4566,18
306,3
1378,3
10209,20
3312,20
103910,3
7128,20
3337,20
6348,5
5829,10
7314,18
25793,18
2987,18
79887,5
4048,5
2950,5
2014,5
1890,1
440836,1
9997,1
3965,1
5880,3
23218,10
100302254,5
645,5
3119,13
106480429,13
3934,1
79180,10
4478,10
57136,10
11314,10
51411,10
826,5
728358,14
1667,14
1668,14
407013,5
407018,5
407010,5
28626,20
